"","FPKM.liver.tablemaker"
"1700",25.5457
"1701",0
"1702",4.55648
"1703",0
"1704",201.819
"1705",0
"1706",4.00351
"1707",0
"1708",28.071
"1709",0
"1710",42.6122
"1711",0
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",14.8627
"1718",6.80759
"1719",0
"1720",0
"1721",0
"1722",4.85375
"1723",2.01167
"1724",7.25052
"1725",2.71873
"1726",6.1901
"1727",0
"1728",0
"1729",0
"1730",0
"1731",0
"1732",1.69853
"1733",0
"1734",0
"1735",0
"1736",1.77133
"1737",28.0191
"1738",12.3593
"1739",14.2041
"1740",0
"1741",5.46257
"1742",3.39273
"1743",11.4504
"1744",0
"1745",2.07597
"1746",5.53299
"1747",4.85842e-05
"1748",0
"1749",31.1503
"1750",0
"1751",0
"1752",0
"1753",0
"1754",8.57698
"1755",0
"1756",2.68132
"1757",0
"1758",0
"1759",0
"1760",0
"1761",33.309
"1762",9.74975
"1763",0
"1764",0
"1765",0
"1766",0
"1767",0
"1768",0
"1769",0
"1770",9.61986
"1771",0
"1772",5.39061
"1773",0
"1774",0
"1775",0
"1776",0
"1777",5.52154
"1778",109.292
"1779",0
"1780",166.284
"1781",0
"1782",0
"1783",0
"1784",4.32969
"1785",0
"1786",34.9151
"1787",0
"1788",1.84858
"1789",5.2728
"1790",2.71152
"1791",0
"1792",6.77064
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",0
"1799",2.08443
"1800",0
"1801",0
"1802",0.421574
"1803",8.47413e-37
"1804",10.5947
"1805",7.8869e-85
"1806",14.7185
"1807",4777.1
"1808",5.68289
"1809",4.12058
"1810",0
"1811",0
"1812",0
"1813",0
"1814",0
"1815",1.7868
"1816",1.01888
"1817",0
"1818",0
"1819",0
"1820",0
"1821",0
"1822",0
"1823",0
"1824",1.47134
"1825",0
"1826",0
"1827",0
"1828",0
"1829",1.77209
"1830",6.52335
"1831",32.4738
"1832",4.2402
"1833",2.23226
"1834",0
"1835",0
"1836",0
"1837",0
"1838",1.80572
"1839",4.3139
"1840",2.13333
"1841",4.73556
"1842",4.19528
"1843",0
"1844",0
"1845",0
"1846",4.67625
"1847",7.76905
"1848",0
"1849",2.34482
"1850",0
"1851",3.41824
"1852",7.03633
"1853",8.72326
"1854",0
"1855",0
"1856",0
"1857",10.5712
"1858",0
"1859",0
"1860",10.2396
"1861",0
"1862",0
"1863",4.8394
"1864",0
"1865",0
"1866",0
"1867",4.07528
"1868",4.52965
"1869",0
"1870",0
"1871",10.429
"1872",0
"1873",2.6919
"1874",0
"1875",5.4919
"1876",0
"1877",0
"1878",0
"1879",0
"1880",10.6002
"1881",2.16494
"1882",0
"1883",0
"1884",0
"1885",0
"1886",0
"1887",0
"1888",0
"1889",0
"1890",0
"1891",3.65649
"1892",0
"1893",2.37551
"1894",0
"1895",0
"1896",0
"1897",0
"1898",0
"1899",16.5819
"1900",0
"1901",0
"1902",8.45613
"1903",2.33546
"1904",0
"1905",3.67951
"1906",0
"1907",0
"1908",0
"1909",0
"1910",17.4603
"1911",6.73944
"1912",0
"1913",14.4374
"1914",0
"1915",0
"1916",0
"1917",0
"1918",0
"1919",0
"1920",0
"1921",0
"1922",0
"1923",0
"1924",2.61785
"1925",0
"1926",0
"1927",2.43487
"1928",0
"1929",1.12598
"1930",0
"1931",0
"1932",2.051
"1933",5.67107
"1934",0
"1935",0
"1936",0
"1937",0
"1938",0
"1939",20.621
